Date,URL,POST,AccountID,Account,Likes,Comments,Views,Reel,Hashtag?,HashtagsUsed
22-Nov-19,B5LeHK2h4p0,Better utility than a pick-up. More performance than a sports car.,297604134,teslamotors,1053196,35153,0,0,0,
16-Apr-21,CNt1sCzhsBa,Cybertruck at Giga Texas,297604134,teslamotors,801640,6738,0,0,0,
15-Jan-21,CKFHCdxhbfx,"Large crumple zones, rigid body structure & low center of gravity really make a difference.Model Y awarded 5-star safety rating in every category! ?? ?? ?? ?? ??",297604134,teslamotors,702593,4661,4845521,1,0,
2-Mar-21,CL7a9GHBxed,"Two years ago, we launched Dog Mode ??",297604134,teslamotors,676967,5971,0,0,0,
9-May-21,COovRvnIyDd,Cybertruck in NYC,297604134,teslamotors,603692,5224,3301500,1,0,
3-Dec-21,CXBUSkPFDDd,Cyberquad for Kids ??,297604134,teslamotors,583207,4524,0,0,0,
23-Aug-22,ChnQ9g8D-lm,??????,297604134,teslamotors,573598,3104,9417776,1,0,
23-Nov-19,B5ONzQOBtMc,I’m gonna tell my kids this is the first pick-up,297604134,teslamotors,562891,15586,4537591,1,0,
21-Aug-21,CS2Jb4eF5wK,Join us to build the future of AI ? tesla.com/ai,297604134,teslamotors,540846,19348,3051489,1,0,
1-Mar-21,CL4sTr9IEeH,Use the Tesla app to melt snow & ice off your car before even leaving the house?? by @cookie_esq,297604134,teslamotors,452053,3997,3150002,1,0,
15-Mar-21,CMcjNLQoml_,Semi on the track,297604134,teslamotors,427270,3045,2802731,1,0,
1-Apr-21,CNIdF1MnSry,Model 3 deliveries in Europe,297604134,teslamotors,426670,3044,0,0,0,
18-Sep-21,CT8AQBbN1yA,Model Y arrives in Europe,297604134,teslamotors,425584,2413,0,0,0,
30-Sep-21,CUcRUr2NfOM,Q3 deliveries in Europe ??????,297604134,teslamotors,419603,2620,0,0,0,
4-May-22,CdI3TDqjO6N,Once upon a time at Giga Texas… ??,297604134,teslamotors,416865,2940,3829031,1,0,
17-Feb-22,CaFyYp6Dwuy,You can now customize how your Tesla appears on the screen and app with the Car Colorizer,297604134,teslamotors,389204,4851,3453101,1,0,
24-Jan-21,CKb_OxIBqaO,Stamping ...1. Model Y body parts2. Model 3 frunksBoth at our Fremont factory!,297604134,teslamotors,385621,2807,0,0,0,
